l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.510672 0.781860 0.643392 0.067391 0.824810 0.187135 0.437500 0.524272
0.496443 0.761194 0.638404 0.066304 0.793254 0.093567 0.437500 0.407767
0.495652 0.760046 0.638404 0.066304 0.793254 0.093567 0.583333 0.514563
0.481423 0.739380 0.633416 0.065217 0.761697 0.000000 0.666667 0.679612
0.476680 0.769231 0.625935 0.063043 0.806311 0.309942 0.604167 0.563107
0.465613 0.768083 0.610973 0.059783 0.850925 0.210526 0.666667 0.504854
0.455336 0.765786 0.598504 0.064130 0.830250 0.000000 0.562500 0.427184
0.455336 0.739380 0.598504 0.060870 0.757345 0.000000 0.583333 0.650485
0.517787 0.761194 0.710723 0.058696 0.745375 0.000000 0.791667 0.310680
0.547036 0.771527 0.785536 0.061957 0.744287 0.204678 0.562500 0.398058
