l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.586561 0.724455 0.710723 0.078261 0.695321 0.000000 0.416667 0.233010
0.621344 0.730195 0.700748 0.081522 0.682263 0.543860 0.458333 0.339806
0.667194 0.740528 0.700748 0.076087 0.746464 0.251462 0.312500 0.631068
0.531225 0.729047 0.728180 0.073913 0.751904 0.000000 0.541667 0.281553
0.603162 0.725603 0.793017 0.071739 0.709467 0.175439 0.708333 0.640777
0.644269 0.726751 0.847880 0.073913 0.704026 0.432749 0.458333 0.456311
0.656917 0.693456 0.827930 0.072826 0.714908 0.350877 0.270833 0.281553
0.644269 0.647532 0.812968 0.070652 0.702938 0.181287 0.354167 0.271845
0.645850 0.641791 0.815461 0.070652 0.702938 0.631579 0.187500 0.582524
0.654545 0.668197 0.825436 0.065217 0.725789 0.099415 0.187500 0.165049
