l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.202372 1.000000 0.708229 0.059783 0.692057 0.000000 0.458333 0.456311
0.175494 0.982778 0.693267 0.060870 0.699674 0.000000 0.854167 0.572816
0.163636 0.970149 0.738155 0.051087 0.833515 0.000000 0.541667 0.728155
0.128854 0.950631 0.678304 0.046739 0.910773 0.000000 0.583333 0.621359
0.136759 0.962112 0.718204 0.047826 0.890098 0.397661 0.250000 0.747573
0.135178 0.919633 0.710723 0.048913 0.870511 0.391813 0.520833 0.825243
0.123320 0.942595 0.778055 0.046739 0.759521 0.000000 0.666667 0.582524
0.116206 0.936854 0.733167 0.046739 0.759521 0.000000 0.625000 0.631068
0.159684 0.903559 0.720698 0.046739 0.759521 0.000000 0.729167 0.475728
0.215020 0.827784 0.753117 0.046739 0.759521 0.000000 0.625000 0.621359
