l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.407336 0.050453 0.926901 0.397260 0.879000 0.075893 0.508772 0.275362
0.416345 0.028461 0.947368 0.404110 0.847000 0.303571 0.473684 0.347826
0.420206 0.011643 0.868421 0.363014 0.098000 0.000000 0.438596 0.434783
0.351351 0.071151 0.885965 0.390411 0.877000 0.000000 0.245614 0.594203
0.404762 0.049159 0.877193 0.452055 0.758000 0.000000 0.368421 0.289855
0.446589 0.037516 0.883041 0.417808 0.787000 0.071429 0.315789 0.246377
0.424067 0.023286 0.839181 0.417808 0.754000 0.147321 0.192982 0.536232
0.431789 0.028461 0.853801 0.410959 0.750000 0.000000 0.438596 0.304348
0.395109 0.025873 0.853801 0.390411 0.737000 0.000000 0.403509 0.289855
0.363578 0.032342 0.827485 0.410959 0.700000 0.000000 0.385965 0.420290
