l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.415020 0.833525 0.655860 0.044565 0.663765 1.000000 0.562500 0.475728
0.294862 0.788749 0.603491 0.039130 0.787813 0.590643 0.520833 0.582524
0.294862 0.788749 0.603491 0.039130 0.787813 0.590643 0.166667 0.466019
0.175494 0.745121 0.553616 0.033696 0.912949 0.187135 0.187500 0.728155
0.159684 0.733639 0.558603 0.036957 0.832427 0.169591 0.541667 0.582524
0.130435 0.730195 0.513716 0.030435 0.855277 0.625731 0.291667 0.417476
0.141502 0.756602 0.558603 0.030435 0.855277 0.625731 0.604167 0.466019
0.139130 0.724455 0.625935 0.028261 0.711643 0.672515 0.812500 0.679612
0.140711 0.734788 0.556110 0.031522 0.787813 0.198830 0.750000 0.631068
0.171541 0.825488 0.541147 0.031522 0.787813 0.403509 0.666667 0.611650
