l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.771541 0.819747 0.738155 0.101087 0.561480 0.315789 0.291667 0.359223
0.766798 0.808266 0.733167 0.100000 0.618063 0.345029 0.229167 0.427184
0.766798 0.808266 0.733167 0.100000 0.618063 0.345029 0.062500 0.543689
0.762055 0.797933 0.728180 0.100000 0.674646 0.380117 0.312500 0.495146
0.784980 0.833525 0.750623 0.106522 0.633297 0.181287 0.562500 0.611650
0.841897 0.853042 0.805486 0.107609 0.571273 0.356725 0.395833 0.543689
0.843478 0.861079 0.805486 0.102174 0.578890 0.561404 0.145833 0.291262
0.873518 0.869116 0.835411 0.104348 0.544070 0.485380 0.458333 0.504854
0.807905 0.876005 0.850374 0.100000 0.520131 0.070175 0.395833 0.543689
0.722530 0.876005 0.877805 0.084783 0.558215 0.672515 0.125000 0.398058
