l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.403953 0.804822 0.670823 0.056522 0.627856 0.222222 0.395833 0.601942
0.401581 0.820895 0.665835 0.060870 0.583243 0.315789 0.500000 0.446602
0.401581 0.811711 0.665835 0.064130 0.571273 0.497076 0.541667 0.669903
0.347036 0.763490 0.683292 0.047826 0.668118 0.134503 0.562500 0.621359
0.369960 0.779564 0.685786 0.044565 0.689880 0.140351 0.854167 0.601942
0.400000 0.741676 0.700748 0.047826 0.692057 0.134503 0.604167 0.582524
0.388142 0.729047 0.680798 0.047826 0.717084 0.263158 0.520833 0.475728
0.424506 0.716418 0.743142 0.048913 0.579978 0.257310 0.687500 0.699029
0.430040 0.715270 0.753117 0.050000 0.568009 0.508772 0.416667 0.650485
0.431621 0.677382 0.755611 0.045652 0.621328 0.000000 0.333333 0.398058
