l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.202372 0.564868 1.000000 0.173913 0.367791 0.766082 0.062500 0.213592
0.158103 0.626866 0.798005 0.173913 0.367791 0.766082 0.354167 0.533981
0.157312 0.628014 0.795511 0.173913 0.367791 0.766082 0.583333 0.737864
0.113043 0.690012 0.593516 0.173913 0.367791 0.766082 0.583333 0.679612
0.121739 0.648680 0.640898 0.155435 0.367791 0.766082 0.645833 0.504854
0.124901 0.704937 0.655860 0.132609 0.367791 0.766082 0.291667 0.233010
0.112253 0.622273 0.708229 0.132609 0.388466 0.982456 0.479167 0.504854
0.093281 0.632606 0.588529 0.128261 0.418934 0.719298 0.395833 0.514563
0.066403 0.587830 0.523691 0.140217 0.454842 0.432749 0.083333 0.640777
0.071146 0.753157 0.448878 0.128261 0.442873 0.596491 0.395833 0.000000
