l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.335968 0.537313 0.623441 0.056522 0.690968 0.339181 0.375000 0.388350
0.369960 0.543054 0.630923 0.064130 0.568009 0.216374 0.625000 0.427184
0.403162 0.548795 0.635910 0.071739 0.445049 0.087719 0.604167 0.669903
0.313043 0.553387 0.581047 0.054348 0.674646 0.116959 0.708333 0.330097
0.334387 0.616533 0.586035 0.073913 0.496192 0.169591 0.541667 0.485437
0.324111 0.641791 0.568579 0.059783 0.633297 0.210526 0.541667 0.203883
0.327273 0.642939 0.573566 0.058696 0.664853 0.216374 0.437500 0.077670
0.305929 0.664753 0.536160 0.055435 0.554951 0.228070 0.458333 0.320388
0.266403 0.616533 0.493766 0.057609 0.513602 0.438596 0.583333 0.339806
0.275889 0.624569 0.543641 0.052174 0.521219 0.245614 0.645833 0.368932
