l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.272727 0.895522 0.478803 0.054348 0.896627 0.000000 0.458333 0.514563
0.210277 0.923077 0.471322 0.054348 0.896627 0.000000 0.541667 0.388350
0.210277 0.923077 0.471322 0.054348 0.896627 0.000000 0.583333 0.601942
0.147826 0.951780 0.466334 0.054348 0.896627 0.000000 0.500000 0.417476
0.126482 0.904707 0.498753 0.054348 0.896627 0.000000 0.604167 0.456311
0.105929 0.900115 0.476309 0.054348 0.896627 0.000000 0.625000 0.601942
0.075889 0.861079 0.478803 0.054348 0.870511 0.000000 0.541667 0.495146
0.075889 0.980482 0.478803 0.055435 0.746464 0.000000 0.500000 0.572816
0.097233 0.924225 0.511222 0.063043 0.694233 0.000000 0.625000 0.601942
0.111462 0.855339 0.438903 0.063043 0.675735 0.304094 0.770833 0.572816
