l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.456917 0.756602 0.685786 0.042391 0.809576 0.298246 0.354167 0.466019
0.361265 0.727899 0.665835 0.042391 0.809576 0.298246 0.541667 0.543689
0.360474 0.727899 0.663342 0.042391 0.809576 0.298246 0.458333 0.728155
0.264822 0.699196 0.643392 0.042391 0.809576 0.298246 0.625000 0.854369
0.265613 0.714122 0.643392 0.043478 0.822633 0.368421 0.770833 0.466019
0.284585 0.765786 0.690773 0.043478 0.843308 0.438596 0.687500 0.572816
0.301976 0.757750 0.680798 0.043478 0.870511 0.292398 0.520833 0.407767
0.298024 0.761194 0.670823 0.043478 0.870511 0.000000 0.604167 0.349515
0.324901 0.756602 0.683292 0.043478 0.870511 0.000000 0.812500 0.873786
0.325692 0.749713 0.685786 0.046739 0.809576 0.000000 0.375000 0.504854
