l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.182609 0.804822 0.576060 0.040217 0.735582 0.157895 0.541667 0.514563
0.184980 0.760046 0.531172 0.039130 0.695321 0.485380 0.687500 0.669903
0.207905 0.707233 0.546135 0.045652 0.699674 0.836257 0.604167 0.572816
0.168379 0.657865 0.591022 0.039130 0.877040 0.163743 0.666667 0.456311
0.143083 0.660161 0.645885 0.042391 0.836779 0.450292 0.812500 0.689320
0.124901 0.704937 0.655860 0.023913 0.593036 0.795322 0.541667 0.679612
0.116996 0.760046 0.615960 0.025000 0.614799 0.760234 0.520833 0.398058
0.132016 0.777268 0.693267 0.022826 0.570185 0.555556 0.645833 0.563107
0.150198 0.701493 0.675810 0.023913 0.692057 0.263158 0.583333 0.543689
0.194466 0.686567 0.680798 0.029348 0.564744 0.649123 0.687500 0.543689
