l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.536759 0.817451 0.705736 0.063043 0.750816 0.198830 0.458333 0.446602
0.520158 0.769231 0.683292 0.059783 0.791077 0.532164 0.666667 0.572816
0.528063 0.777268 0.693267 0.058696 0.906420 0.327485 0.520833 0.679612
0.412648 0.771527 0.723192 0.063043 0.844396 0.099415 0.645833 0.524272
0.420553 0.760046 0.738155 0.056522 0.920566 0.111111 0.666667 0.815534
0.391304 0.791045 0.685786 0.056522 0.920566 0.111111 0.583333 0.485437
0.362055 0.804822 0.670823 0.056522 0.920566 0.111111 0.333333 0.330097
0.394466 0.772675 0.690773 0.056522 0.920566 0.000000 0.791667 0.669903
0.426087 0.732491 0.673317 0.058696 0.886833 0.327485 0.520833 0.572816
0.499605 0.717566 0.715711 0.058696 0.825898 0.216374 0.520833 0.640777
