l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.605534 0.764638 0.683292 0.070652 0.836779 0.269006 0.333333 0.378641
0.602372 0.750861 0.678304 0.070652 0.836779 0.000000 0.458333 0.436893
0.592885 0.371986 0.668329 0.070652 0.836779 0.000000 0.208333 0.553398
0.580237 0.730195 0.763092 0.070652 0.836779 0.000000 0.562500 0.456311
0.653755 0.727899 0.793017 0.077174 0.766050 0.081871 0.895833 0.708738
0.725692 0.739380 0.847880 0.076087 0.823721 0.169591 0.520833 0.466019
0.757312 0.761194 0.852868 0.077174 0.858542 0.081871 0.562500 0.388350
0.766798 0.777268 0.862843 0.078261 0.846572 0.163743 0.583333 0.533981
0.777866 0.764638 0.875312 0.069565 0.900979 0.000000 0.375000 0.310680
0.746245 0.742824 0.872818 0.069565 0.900979 0.000000 0.229167 0.378641
