l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.800000 0.708381 0.788030 0.102174 0.845484 0.187135 0.604167 0.388350
0.835573 0.706085 0.798005 0.081522 0.943417 0.233918 0.500000 0.427184
0.893281 0.704937 0.805486 0.110870 0.799782 0.286550 0.437500 0.592233
0.751779 0.709529 0.817955 0.093478 0.822633 0.000000 0.437500 0.514563
0.824506 0.703789 0.867830 0.097826 0.761697 0.128655 0.708333 0.582524
0.909091 0.695752 0.925187 0.096739 0.770403 0.128655 0.583333 0.291262
0.948617 0.698048 0.935162 0.095652 0.754081 0.198830 0.354167 0.281553
1.000000 0.680827 0.955112 0.097826 0.725789 0.327485 0.395833 0.349515
0.963636 0.679679 0.980050 0.094565 0.762786 0.198830 0.354167 0.281553
0.846640 0.661309 0.955112 0.086957 0.803047 0.146199 0.250000 0.407767
