l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.207115 0.504018 0.543641 0.048913 0.797606 0.257310 0.854167 0.533981
0.189723 0.463835 0.543641 0.048913 0.700762 0.128655 0.687500 0.563107
0.173123 0.545350 0.546135 0.042391 0.809576 0.152047 0.500000 0.728155
0.089328 0.578645 0.468828 0.034783 0.816104 0.368421 0.270833 0.514563
0.086957 0.479908 0.456359 0.035870 0.791077 0.532164 0.645833 0.543689
0.085375 0.489093 0.448878 0.038043 0.808487 0.333333 0.166667 0.747573
0.067194 0.419059 0.423940 0.035870 0.791077 0.356725 0.770833 0.708738
0.056126 0.566016 0.443890 0.030435 0.816104 0.415205 0.604167 0.572816
0.058498 0.683123 0.461347 0.034783 0.884657 0.000000 0.666667 0.650485
0.092490 0.677382 0.486284 0.039130 0.755169 0.000000 0.833333 0.533981
