l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.264032 0.603904 0.660848 0.027174 0.739935 0.000000 0.729167 0.572816
0.183399 0.600459 0.653367 0.027174 0.739935 0.000000 0.541667 0.553398
0.182609 0.599311 0.650873 0.027174 0.739935 0.000000 0.687500 0.834951
0.101976 0.595867 0.643392 0.027174 0.739935 0.000000 0.645833 0.601942
0.084585 0.611940 0.668329 0.027174 0.739935 0.000000 0.479167 0.563107
0.037154 0.805970 0.586035 0.028261 0.711643 0.000000 0.312500 0.533981
0.037154 0.757750 0.586035 0.030435 0.660501 0.000000 0.645833 0.543689
0.033992 0.587830 0.536160 0.030435 0.893362 0.415205 0.958333 0.582524
0.083794 0.563720 0.660848 0.034783 0.782372 0.181287 0.604167 0.553398
0.113834 0.661309 0.598504 0.046739 0.860718 0.000000 0.666667 0.553398
