l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.443478 0.787600 0.665835 0.040217 0.647443 0.157895 0.583333 0.378641
0.354941 0.824340 0.655860 0.040217 0.647443 0.157895 0.625000 0.485437
0.354941 0.825488 0.655860 0.040217 0.647443 0.157895 0.604167 0.679612
0.266403 0.862227 0.645885 0.040217 0.647443 0.157895 0.604167 0.524272
0.213439 0.795637 0.610973 0.040217 0.647443 0.157895 0.708333 0.543689
0.144664 0.733639 0.571072 0.040217 0.647443 0.157895 0.666667 0.466019
0.167589 0.725603 0.588529 0.043478 0.598477 0.292398 0.291667 0.466019
0.158103 0.729047 0.623441 0.044565 0.557127 0.140351 0.541667 0.766990
0.242688 0.707233 0.695761 0.045652 0.570185 0.140351 0.708333 0.563107
0.258498 0.687715 0.680798 0.048913 0.556039 0.257310 0.666667 0.524272
