l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.188142 0.650976 0.593516 0.058696 0.584331 0.111111 0.145833 0.378641
0.168379 0.693456 0.628429 0.058696 0.559304 0.269006 0.562500 0.543689
0.167589 0.694604 0.630923 0.059783 0.559304 0.269006 0.083333 0.689320
0.147826 0.737084 0.665835 0.059783 0.534276 0.426901 0.270833 0.563107
0.132806 0.792193 0.698254 0.047826 0.519042 0.532164 1.000000 0.601942
0.122530 0.851894 0.643392 0.044565 0.451578 0.573099 0.625000 0.368932
0.116206 0.811711 0.610973 0.044565 0.424374 0.426901 0.229167 0.019417
0.084585 0.815155 0.533666 0.042391 0.251360 0.450292 0.583333 1.000000
0.030040 0.725603 0.473815 0.027174 0.217628 0.701754 0.000000 0.650485
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.770833 0.601942
