l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.888031 0.059508 0.985380 0.890411 0.762000 0.066964 0.543860 0.318841
0.951737 0.100906 0.982456 0.917808 0.731000 0.066964 0.561404 0.304348
1.000000 0.072445 0.988304 0.931507 0.721000 0.066964 0.578947 0.275362
0.906692 0.077620 0.979532 1.000000 0.678000 0.031250 0.543860 0.420290
0.921493 0.080207 0.997076 1.000000 0.644000 0.062500 0.649123 0.000000
0.924067 0.077620 1.000000 0.986301 0.597000 0.125000 0.491228 0.014493
0.909266 0.071151 0.961988 0.965753 0.567000 0.093750 1.000000 0.608696
0.915058 0.060802 0.967836 0.986301 0.521000 0.125000 0.736842 0.420290
0.869369 0.046572 0.964912 0.945205 0.514000 0.062500 0.684211 0.318841
0.796654 0.036223 0.926901 0.904110 0.508000 0.102679 0.614035 0.275362
