l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.356522 0.740528 0.750623 0.054348 0.674646 0.116959 0.562500 0.679612
0.309091 0.690012 0.695761 0.047826 0.767138 0.000000 0.520833 0.582524
0.264032 0.663605 0.693267 0.039130 0.846572 0.163743 0.770833 0.601942
0.120158 0.626866 0.630923 0.036957 0.928183 0.000000 0.770833 0.524272
0.083004 0.655568 0.655860 0.035870 0.989119 0.000000 0.770833 0.533981
0.060870 0.700344 0.640898 0.040217 1.000000 0.000000 0.291667 0.601942
0.051383 0.583238 0.541147 0.040217 0.941240 0.157895 0.770833 0.553398
0.055336 0.590126 0.581047 0.041304 0.916213 0.000000 0.583333 0.601942
0.120158 0.626866 0.630923 0.045652 0.855277 0.000000 0.625000 0.475728
0.194466 0.634902 0.680798 0.057609 0.698585 0.333333 0.583333 0.553398
