l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.099605 0.464983 0.394015 0.026087 0.770403 0.245614 0.354167 0.378641
0.101186 0.510907 0.399002 0.027174 0.826986 0.000000 0.208333 0.640777
0.112253 0.525832 0.443890 0.032609 0.906420 0.000000 0.312500 0.650485
0.072727 0.499426 0.381546 0.032609 0.725789 0.000000 0.437500 0.485437
0.071937 0.530425 0.379052 0.032609 0.725789 0.000000 0.500000 0.689320
0.066403 0.587830 0.349127 0.055435 0.710555 0.000000 0.562500 0.475728
0.079842 0.625718 0.418953 0.078261 0.695321 0.245614 0.250000 0.504854
0.071146 0.611940 0.374065 0.077174 0.674646 0.081871 0.354167 0.572816
0.075099 0.568312 0.394015 0.078261 0.649619 0.081871 0.541667 0.436893
0.080632 0.540758 0.423940 0.081522 0.638738 0.076023 0.520833 0.601942
