l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.609486 0.660161 0.685786 0.077174 0.843308 0.163743 0.520833 0.339806
0.641897 0.683123 0.685786 0.078261 0.810664 0.081871 0.416667 0.388350
0.674308 0.706085 0.685786 0.079348 0.789989 0.000000 0.416667 0.572816
0.597628 0.716418 0.725686 0.079348 0.789989 0.000000 0.416667 0.611650
0.676680 0.756602 0.790524 0.079348 0.834603 0.081871 0.479167 0.504854
0.729644 0.714122 0.852868 0.082609 0.801959 0.000000 0.500000 0.349515
0.726482 0.727899 0.880299 0.084783 0.781284 0.000000 0.333333 0.145631
0.742292 0.709529 0.867830 0.090217 0.721436 0.070175 0.291667 0.436893
0.739921 0.754305 0.865337 0.090217 0.668118 0.000000 0.354167 0.330097
0.743083 0.739380 0.867830 0.090217 0.602829 0.280702 0.312500 0.271845
