l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.584190 0.717566 0.683292 0.079348 0.774755 0.081871 0.354167 0.339806
0.620553 0.719862 0.675810 0.080435 0.779108 0.315789 0.250000 0.407767
0.664032 0.725603 0.675810 0.084783 0.767138 0.222222 0.166667 0.582524
0.558103 0.676234 0.733167 0.077174 0.796518 0.081871 0.375000 0.611650
0.627668 0.664753 0.760598 0.081522 0.739935 0.157895 0.645833 0.611650
0.701186 0.646383 0.790524 0.082609 0.758433 0.385965 0.375000 0.475728
0.709091 0.660161 0.798005 0.084783 0.738847 0.222222 0.395833 0.067961
0.686957 0.691160 0.802993 0.085870 0.744287 0.146199 0.416667 0.300971
0.662451 0.700344 0.802993 0.083696 0.748640 0.076023 0.312500 0.524272
0.672727 0.700344 0.815461 0.083696 0.748640 0.076023 0.312500 0.242718
