l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.337549 0.580941 0.665835 0.044565 0.663765 0.853801 0.520833 0.436893
0.279842 0.557979 0.650873 0.041304 0.699674 0.426901 0.583333 0.485437
0.279842 0.557979 0.650873 0.040217 0.699674 0.426901 0.479167 0.533981
0.222134 0.535017 0.635910 0.036957 0.735582 0.000000 0.770833 0.572816
0.211858 0.484501 0.668329 0.038043 0.714908 0.000000 0.729167 0.495146
0.187352 0.523536 0.655860 0.036957 0.768226 0.345029 0.562500 0.524272
0.165217 0.522388 0.650873 0.036957 0.735582 0.000000 0.458333 0.475728
0.160474 0.554535 0.633416 0.044565 0.610446 0.286550 0.625000 0.660194
0.192095 0.614237 0.673317 0.041304 0.630033 0.152047 0.541667 0.601942
0.261660 0.597015 0.688279 0.046739 0.531012 0.134503 0.583333 0.621359
