l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.524111 0.753157 0.660848 0.067391 0.789989 0.380117 0.500000 0.300971
0.521739 0.755454 0.685786 0.069565 0.782372 0.274854 0.687500 0.514563
0.524111 0.773823 0.688279 0.067391 0.772579 0.380117 0.583333 0.514563
0.436364 0.779564 0.725686 0.061957 0.744287 0.000000 0.750000 0.669903
0.512253 0.786452 0.770574 0.065217 0.688792 0.292398 0.770833 0.601942
0.543873 0.791045 0.780549 0.068478 0.638738 0.368421 0.854167 0.563107
0.544664 0.805970 0.780549 0.061957 0.744287 0.309942 0.625000 0.456311
0.519368 0.765786 0.780549 0.060870 0.699674 0.210526 0.625000 0.621359
0.552569 0.743972 0.830424 0.058696 0.605005 0.216374 0.666667 0.728155
0.555731 0.723307 0.835411 0.056522 0.607182 0.111111 0.687500 0.621359
