l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.573913 0.787600 0.695761 0.071739 0.922742 0.000000 0.625000 0.262136
0.550988 0.805970 0.728180 0.070652 0.816104 0.046784 0.479167 0.485437
0.550988 0.807118 0.725686 0.069565 0.815016 0.046784 0.520833 0.514563
0.528063 0.825488 0.758105 0.068478 0.708379 0.093567 0.645833 0.582524
0.590514 0.785304 0.810474 0.061957 0.878128 0.000000 0.937500 0.592233
0.633202 0.780712 0.867830 0.059783 0.909684 0.000000 0.541667 0.388350
0.629249 0.760046 0.862843 0.064130 0.848749 0.099415 0.541667 0.388350
0.633202 0.755454 0.867830 0.064130 0.848749 0.099415 0.937500 0.601942
0.649012 0.723307 0.852868 0.063043 0.825898 0.099415 0.916667 0.699029
0.647431 0.717566 0.850374 0.063043 0.787813 0.099415 0.562500 0.699029
