l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.504348 0.625718 0.758105 0.079348 0.625680 0.239766 0.416667 0.320388
0.505138 0.624569 0.760598 0.079348 0.625680 0.239766 0.479167 0.485437
0.505929 0.624569 0.760598 0.079348 0.625680 0.239766 0.291667 0.417476
0.308300 0.659013 0.748130 0.079348 0.625680 0.239766 0.583333 0.533981
0.265613 0.683123 0.760598 0.079348 0.625680 0.239766 0.687500 0.582524
0.215020 0.684271 0.753117 0.079348 0.625680 0.239766 0.520833 0.417476
0.203162 0.638347 0.713217 0.072826 0.633297 0.263158 0.375000 0.533981
0.189723 0.588978 0.665835 0.068478 0.638738 0.280702 0.166667 0.475728
0.192095 0.595867 0.673317 0.065217 0.598477 0.099415 0.416667 0.611650
0.204743 0.717566 0.718204 0.065217 0.579978 0.292398 0.270833 0.563107
