l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.100395 0.921929 0.633416 0.022826 0.414581 0.836257 0.666667 0.359223
0.078261 0.973594 0.618454 0.020652 0.458107 0.309942 0.500000 0.223301
0.091700 0.049369 0.578554 0.022826 0.570185 0.280702 0.562500 0.601942
0.065613 0.898967 0.518703 0.022826 0.570185 0.555556 0.500000 0.485437
0.067194 0.878301 0.531172 0.023913 0.890098 0.532164 0.583333 0.601942
0.053755 0.827784 0.566085 0.021739 0.870511 0.584795 0.479167 0.514563
0.061660 0.912744 0.648379 0.019565 0.846572 0.327485 0.250000 0.233010
0.052964 0.977038 0.556110 0.018478 0.832427 0.000000 0.770833 0.699029
0.064032 0.893226 0.673317 0.017391 0.748640 0.368421 0.479167 0.689320
0.091700 0.841561 0.723192 0.023913 0.643090 0.532164 0.541667 0.757282
