l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.312253 0.717566 0.655860 0.039130 0.605005 0.000000 0.520833 0.563107
0.301976 0.724455 0.635910 0.038043 0.652884 0.333333 0.604167 0.533981
0.261660 0.780712 0.588529 0.036957 0.735582 0.345029 0.312500 0.582524
0.169170 0.734788 0.593516 0.030435 0.816104 0.210526 0.770833 0.456311
0.164427 0.717566 0.648379 0.033696 0.736670 0.187135 0.770833 0.660194
0.156522 0.712974 0.618454 0.032609 0.761697 0.391813 0.645833 0.417476
0.158893 0.691160 0.715711 0.034783 0.713819 0.368421 0.479167 0.330097
0.173123 0.718714 0.683292 0.031522 0.712731 0.000000 0.854167 0.504854
0.215020 0.763490 0.615960 0.030435 0.776931 0.000000 0.500000 0.834951
0.293281 0.764638 0.710723 0.043478 0.734494 0.146199 0.708333 0.543689
