l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.289328 0.693456 0.571072 0.038043 0.528836 0.000000 0.625000 0.543689
0.245059 0.648680 0.516209 0.051087 0.532100 0.000000 0.708333 0.601942
0.231621 0.603904 0.521197 0.041304 0.544070 0.461988 0.770833 0.601942
0.100395 0.704937 0.451372 0.036957 0.652884 0.233918 0.395833 0.427184
0.059289 0.734788 0.374065 0.032609 0.761697 0.000000 0.625000 0.456311
0.040316 0.540758 0.423940 0.030435 0.504897 0.210526 0.666667 0.524272
0.052174 0.556831 0.548628 0.030435 0.544070 0.000000 0.479167 0.359223
0.067194 0.621125 0.531172 0.023913 0.692057 0.000000 0.687500 0.563107
0.109091 0.582090 0.573566 0.038043 0.714908 0.000000 0.666667 0.611650
0.177075 0.619977 0.620948 0.038043 0.776931 0.000000 0.791667 0.417476
