l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.777866 0.595867 0.768080 0.098913 0.752992 0.321637 0.687500 0.436893
0.727273 0.600459 0.795511 0.100000 0.778020 0.350877 0.708333 0.514563
0.773913 0.600459 0.793017 0.100000 0.779108 0.350877 0.666667 0.553398
0.774704 0.605052 0.820449 0.100000 0.804135 0.380117 0.604167 0.446602
0.781818 0.619977 0.842893 0.096739 0.807399 0.327485 0.791667 0.621359
0.813439 0.633754 0.842893 0.107609 0.725789 0.298246 0.645833 0.572816
0.781028 0.639495 0.822943 1.000000 0.745375 0.380117 0.604167 0.155340
0.813439 0.624569 0.855362 0.095652 0.705114 0.397661 0.645833 0.407767
0.781028 0.598163 0.880299 0.085870 0.715996 0.298246 0.604167 0.398058
0.724901 0.569460 0.880299 0.080435 0.706202 0.157895 0.520833 0.223301
