l_uczniow proc_dziewczyn l_ucz_w_klasie l_naucz proc_dyplo proc_staz progres_mat progres_pol
0.527273 0.803674 0.693267 0.069565 0.900979 0.000000 0.604167 0.446602
0.530435 0.781860 0.698254 0.069565 0.900979 0.000000 0.520833 0.456311
0.566798 0.802526 0.688279 0.068478 0.915125 0.000000 0.583333 0.543689
0.501976 0.763490 0.720698 0.063043 0.862894 0.000000 0.729167 0.766990
0.550198 0.762342 0.723192 0.066304 0.820457 0.093567 0.583333 0.407767
0.581818 0.772675 0.733167 0.069565 0.816104 0.181287 0.604167 0.592233
0.626877 0.784156 0.790524 0.064130 0.867247 0.099415 0.520833 0.407767
0.639526 0.787600 0.775561 0.067391 0.824810 0.093567 0.583333 0.514563
0.626087 0.771527 0.790524 0.067391 0.772579 0.000000 0.562500 0.398058
0.617391 0.719862 0.778055 0.069565 0.731230 0.093567 0.500000 0.339806
